timepoint,channel,mean_intensity,median_intensity,max_intensity,std_intensity,nonzero_pixels
97,2,953.4256623586019,1203.0,7660,567.3545935134123,4718592
98,0,604.1272161801656,727.0,15688,392.3949197240586,4718592
98,1,1636.6609500249226,2177.0,12856,945.0571052864005,4718592
98,2,953.8921264012655,1204.0,16188,567.8246645833674,4718558
99,0,603.9761675198873,727.0,15688,393.1330733265325,4718592
99,1,1637.022642294566,2178.0,12266,945.270742658234,4718592
99,2,954.1174998283386,1204.0,13497,567.8925949792094,4718592
100,0,603.5541667938232,727.0,15688,392.23225866891545,4718592
100,1,1637.1220474243164,2178.0,17188,945.4159661614339,4718592
100,2,953.4271022478739,1204.0,8046,567.3444446658133,4718592
101,0,603.6980171203613,727.0,15688,392.4875697455847,4718592
101,1,1637.4622111320496,2178.0,16295,945.5723705349195,4718592
101,2,953.5703962643942,1203.0,16188,567.6140530548378,4718592
102,0,603.8016211191813,727.0,15688,392.22892730821735,4718592
102,1,1636.6193914413452,2177.0,11477,945.0448024634544,4718592
102,2,953.6941727002462,1204.0,10657,567.4818596352076,4718592
103,0,603.8883099555969,727.0,15688,392.807292834969,4718592
103,1,1636.5309456189473,2177.0,16022,944.9871392818994,4718592
103,2,953.4820996920267,1203.0,9122,567.3317427930534,4718592
104,0,603.3473561604818,727.0,15688,391.25742500584084,4718592
104,1,1636.7680899302165,2177.0,14647,945.12614749071,4718592
104,2,953.5639131863912,1204.0,7113,567.2766010813612,4718592
105,0,603.405686378479,727.0,15688,390.47880582142875,4718592
105,1,1637.13356367747,2178.0,17188,945.3793570703874,4718592
105,2,953.6666604677836,1204.0,16188,567.498814760045,4718592
106,0,603.1043634414673,727.0,15688,390.50038116206366,4718592
106,1,1637.19384765625,2178.0,17188,945.3962863103325,4718592
106,2,952.8598346710205,1204.0,16188,566.9043782781996,4718592
107,0,603.4123702049255,727.0,15688,390.4797380708495,4718592
107,1,1637.3118020693462,2178.0,10788,945.4393938880197,4718592
107,2,953.3295838038126,1204.0,9447,567.0366337867289,4718592
108,0,603.3116615613302,727.0,15225,389.7365873522398,4718592
108,1,1637.1441582043965,2178.0,7891,945.3306835287082,4718592
108,2,953.419357140859,1204.0,9632,567.020100549977,4718592
109,0,603.2344498634338,727.0,15688,390.26870194264814,4718592
109,1,1637.5536456108093,2179.0,12878,945.573780444465,4718592
109,2,953.359394232432,1204.0,8223,567.0160196854115,4718592
110,0,603.5080510775248,728.0,15688,390.5653507285491,4718592
110,1,1637.2075918515523,2178.0,13457,945.3793981442693,4718592
110,2,953.3914931615194,1204.0,16188,567.1191191065426,4718592
111,0,603.1959896087646,728.0,15688,388.90552585668814,4718592
111,1,1637.2832012176514,2178.0,12192,945.4243661437905,4718592
111,2,953.2951262791952,1204.0,7522,567.0326090850195,4718592
112,0,603.0962521235148,728.0,15688,388.48637383239594,4718592
112,1,1637.245553334554,2178.0,9293,945.3877996836915,4718592
112,2,953.1319003105164,1204.0,10094,566.9056861849247,4718592
113,0,603.1353737513224,727.0,15688,389.1930236817402,4718592
113,1,1637.0044032732646,2178.0,17188,945.2995683451595,4718592
113,2,953.3001971244812,1204.0,16188,567.0276919657344,4718592
114,0,603.1372769673666,727.0,12948,389.360591661795,4718592
114,1,1637.387851079305,2178.0,6252,945.4611276331384,4718592
114,2,954.0510438283285,1204.0,8712,567.397103422742,4718592
115,0,602.9172101020813,727.0,15688,390.4008900236328,4718592
115,1,1637.036793231964,2178.0,7623,945.2724430621846,4718592
115,2,954.1524248123169,1204.0,16188,567.7148345411558,4718592
116,0,603.3923390706381,726.0,15688,392.7579133216758,4718592
116,1,1637.5371383031209,2179.0,17188,945.5769204965146,4718592
116,2,954.1267170906067,1204.0,8740,567.6394513425375,4718592
117,0,604.1034806569418,727.0,15688,394.0662250270213,4718592
117,1,1637.7963978449504,2179.0,17188,945.7386050060094,4718592
117,2,954.029003461202,1204.0,9729,567.4255534874487,4718592
118,0,604.0334451993307,727.0,15688,393.2625657086035,4718592
118,1,1638.0303441683452,2179.0,17188,945.859145855234,4718592
118,2,954.1826866467794,1204.0,16188,567.7921849735068,4718592
119,0,603.7871902783712,727.0,15688,393.1607902330155,4718592
119,1,1638.0213635762532,2179.0,13566,945.8500327846108,4718592
119,2,954.0426584879557,1205.0,16188,567.5102643544167,4718592
